	Sentence
0	As Long as You Are Glorified
1	Shall I take from Your hand Your blessings
2	Yet not welcome any pain
3	Shall I thank You for days of sunshine
4	Yet grumble in days of rain
5	Shall I love You in times of plenty
6	Then leave You in days of drought
7	Shall I trust when I reap a harvest
8	But when winter winds blow, then doubt
9	Oh let Your will be done in me
10	In Your love I will abide
11	Oh I long for nothing else as long
12	As You are glorified
13	Are You good only when I prosper
14	And true only when I'm filled
15	Are You King only when I'm carefree
16	And God only when I'm well
17	You are good when I'm poor and needy
18	You are true when I'm parched and dry
19	You still reign in the deepest valley
20	You're still God in the darkest night
21	So quiet my restless heart
22	Quiet my restless heart
23	Quiet my restless heart in you
24	Oh let Your will be done in me
25	In Your love I will abide
26	Oh I long for nothing else as long
27	As You are glorified
28	O Great God
29	O great God of highest heaven
30	Occupy my lowly heart
31	Own it all and reign supreme
32	Conquer every rebel power
33	Let no vice or sin remain
34	That resists Your holy war
35	You have loved and purchased me
36	Make me Yours forevermore
37	I was blinded by my sin
38	Had no ears to hear Your voice
39	Did not know Your love within
40	Had no taste for heaven's joys
41	Then Your Spirit gave me life
42	Opened up Your Word to me
43	Through the gospel of Your Son
44	Gave me endless hope and peace
45	Help me now to live a life
46	That's dependent on Your grace
47	Keep my heart and guard my soul
48	From the evils that I face
49	You are worthy to be praised
50	With my every thought and deed
51	O great God of highest heaven
52	Glorify Your Name through me
53	You are worthy to be praised
54	With my every thought and deed
55	O great God of highest heaven
56	Glorify Your Name through me
57	Let Your Kingdom Come
58	Your glorious cause, O God
59	Engages our hearts
60	May Jesus Christ be known
61	Wherever we are
62	We ask not for ourselves, but for Your renown
63	The cross has saved us so we pray
64	Your kingdom come
65	Let Your kingdom come
66	Let Your will be done
67	So that everyone might know Your Name
68	Let Your song be heard everywhere on earth
69	Till Your sovereign work on earth is done
70	Let Your kingdom come
71	Give us Your strength, O God
72	And courage to speak
73	Perform Your wondrous deeds
74	Through those who are weak
75	Lord use us as You want, whatever the test
76	By grace we'll preach Your gospel
77	Till our dying breath
78	Let Your kingdom come
79	Let Your will be done
80	So that everyone might know Your Name
81	Let Your song be heard everywhere on earth
82	Till Your sovereign work on earth is done
83	Let Your kingdom come
84	Let Your kingdom come
85	Let Your will be done
86	So that everyone might know Your Name
87	Let Your song be heard everywhere on earth
88	Till Your sovereign work on earth is done
89	Let Your kingdom come
90	I Come Running
91	Jesus I am blind be my light
92	Darkened in my mind be my wisdom
93	Bend my stubborn will to Your own
94	Open up my ears to hear Your Spirit
95	Melt my conscience once again
96	Help me hate the slightest sin
97	And when Satan comes to tempt me
98	I come running to You when I fear when I'm tried
99	I come running to You to Your blood to Your side
100	And there my soul finds rest
101	There my soul finds rest in You
102	Shepherd of my soul lead me on
103	To the pastures green in Your scriptures
104	Make me to lie down by waters still
105	Fill me with Your peace in the tempest
106	I take my refuge in Your cross
107	By Your sacrifice I'm washed
108	And when Satan comes accusing
109	I come running to You when I fear when I'm tried
110	I come running to You to Your blood to Your side
111	And there my soul finds rest
112	There my soul finds rest in You
113	Once I was Your foe a slave to sin
114	A stranger to Your love a hopeless outcast
115	But You have brought me near
116	I'm bought with blood
117	Now I'm Your precious child an heir with Jesus
118	You pour heav'n into my soul
119	Your wondrous love it overflows
120	And I marvel how You love me
121	I come running to You when I fear when I'm tried
122	I come running to You to Your blood to Your side
123	And there my soul finds rest
124	There my soul finds rest in You
125	My soul finds rest
126	My sould finds rest in You
127	When I'm burned,
128	When I'm tired,
129	When I'm cold, lost my fire
130	When I'm weary in this race
131	I will run and seek Your face
132	How Deep
133	You were broken that I might be healed
134	You were cast off that I might draw near
135	You were thirsty that I might come drink
136	Cried out in anguish that I might sing
137	How deep is Your love
138	How high and how wide is Your mercy
139	How deep is Your grace
140	Our hearts overflow with praise
141	To You
142	You knew darkness that I might know light
143	Wept great tears that mine might be dried
144	Stripped of glory that I might be clothed
145	Crushed by Your Father to call me Your own
146	Heavenly Father, Beautiful Son
147	Father, You loved me
148	Sent Your Son to redeem
149	Jesus, You washed me
150	By Your blood I am clean
151	Spirit, You've opened these blinded eyes
152	And brought me to Christ
153	Heavenly Father, beautiful Son
154	Spirit of light and truth
155	Thank You for bringing sinners to come to You
156	Father, You gave me
157	To Jesus to keep
158	And Jesus, You love me
159	As a shepherd, his sheep
160	Spirit, You've given me faith in the Son
161	And made our hearts one
162	Father, You're waiting
163	To hear my requests
164	Jesus, Your loving
165	Open hand is outstretched
166	Spirit, You're in me, You intercede
167	And help in my need
168	All That I Need
169	In You is strength to sustain me
170	And wisdom enough to guide my hand
171	Mercy enough to forgive me
172	And power to finish what You began
173	All that I need is in You, Jesus
174	The fountain of grace that overflows
175	All that I need is in You, Jesus
176	You are my only hope
177	You are my only hope
178	In You is fullness of gladness
179	And fullness of grace for every need
180	Rest for the ones who are weary
181	And beauty surpassing all that we've seen
182	All that I need is in You, Jesus
183	The fountain of grace that overflows
184	All that I need is in You, Jesus
185	You are my only hope
186	You are my only hope
187	You satisfy my heart
188	You satisfy my soul
189	You satisfy my heart
190	O help me always know
191	You satisfy my heart
192	You satisfy my soul
193	You satisfy my heart
194	O help me always know
195	All that I need, Jesus
196	All that I need
197	All that I need... is found in You
198	All that I need is in You, Jesus
199	The fountain of grace that overflows
200	All that I need is in You, Jesus
201	You are my only hope
202	You are my only hope
203	You are my only hope
204	In the Valley
205	When You lead me to the valley of vision
206	I can see You in the heights
207	And though my humbling
208	Wouldn't be my decision
209	It's here Your glory shines so bright
210	So let me learn that the cross
211	Precedes the crown
212	To be low is to be high
213	That the valley's where You make me
214	More like Christ
215	Let me find Your grace in the valley
216	Let me find Your life in my death
217	Let me find Your joy in my sorrow
218	Your wealth in my need
219	That You're near with every breath
