	Sentence	prayer_or_nah
0	Share this with	0
1	Email	0
2	Facebook	0
3	Messenger	0
4	Messenger	0
5	Twitter	0
6	Pinterest	0
7	WhatsApp	0
8	LinkedIn	0
9	Copy this link	0
10	These are external links and will open in a new window	0
11	A man armed with a machete has forced his way into the rural home of Kenya's Deputy President William Ruto after wounding a police guard, police say.	0
12	Mr Ruto and his family were not at the compound near the western city of Eldoret at the time.	0
13	Specialist troops had been deployed to deal with the intruder, who was hiding in a partially-constructed building, police said.	0
14	Earlier reports suggested a number of gunmen had entered Mr Ruto's home.	0
15	In circumstances that are yet unclear, he hit an officer on duty with a machete and managed to enter the farm complex, National Police Inspector General Joseph Boinnet said in a statement.	0
16	There were also reports of gunfire.	0
17	The wounded police officer was in a stable condition, police said.	0
18	The incident comes 10 days before Kenya holds presidential, legislative and regional elections.	0
19	The deputy president had left hours earlier for a campaign rally in the town of Kitale, where he joined President Uhuru Kenyatta.	0
20	Mr Kenyatta is seeking re-election next month.	0
21	While Kenya's 2013 elections passed relatively peacefully, there was serious post-election violence following the 2007 polls, which left more than 1,000 people dead and 600,000 displaced from their homes.	0
22	However, experts say they do not expect to see the same level of conflict following the 8 August vote.	0
23	Four people have been arrested after counter-terrorism police raided homes across Sydney.	0
24	Well…	0
25	Audio is giving video a run for its money.	0
26	Video’s older sibling is coming back into action after a successful stint, way back when buying individual songs and albums on iTunes was actually a thing.	0
27	I continue to apologise to my mother for finding approx 79 pence charged on her account every few weeks, normally spent on S Club 7’s latest hit - only to be played on repeat, driven into the ground, and subsequently deleted from both my songlist and wider life.	0
28	Apparently print advertising’s coming back, too.	0
29	But that’s a story for another day.	0
30	But the podcast never died, because the staunch podcast subscribers lived on — and now they’re laughing.	0
31	Even better, though, is that the staunch podcast creators are laughing even harder.	0
32	Podcasts are soaring, so jump back on board.	0
33	Why tho?	0
34	Here are just some of the reasons for choosing to listen:	0
35	A few reasons:	0
36	It’s also worth mentioning that it’s non-exclusive.	0
37	There’s no discrimination within the podcast world — startups and Fortune 500s, eat your hearts out.	0
38	Personally, I listen to podcasts and I watch videos.	0
39	And I’m sure the majority do.	0
40	But I’m much more likely to choose a podcast for two different scenarios:	0
41	Don’t misunderstand: I know I’m supposed to care about data.	0
42	I’m supposed to end that opening sentence by saying, “but I’m working hard to improve my analytical chops.”	0
43	But the truth is, I’m really not.	0
44	Instead, I’m working hard to improve my creative chops.	0
45	It’s what I love.	0
46	It’s what I was put on this earth to do.	0
47	I aspire to create things that make you feel stuff and think stuff and want to spend more time with more of that stuff.	0
48	Now, I’m no fool.	0
49	I know I’ll look far better if I claim that I’m data-driven.	0
50	After all, I’ve worked for online startups and tech companies my entire career.	0
51	We’re the crowd responsible for the data-first ways currently permeating even the most analytics-agnostic fields.	0
52	I know I’m supposed to say I care a ton about data.	0
53	But, well … I just don’t.	0
54	We pretend to care.	0
55	But we don’t really care.	0
56	We really care about our craft.	0
57	We really care about what our intuition is urging us to try.	0
58	We really care about making things others like — nay, love.	0
59	And as it just so happens, this is the skill that many businesses are starting to realize they need but can’t often find.	0
60	Not caring about data seems insane (dare I say, unthinkable), but it’s made us valuable to companies and clients and customers all the same.	0
61	Because rather than get 1.2x the results through optimization, we strive for 10x the results through creation.	0
62	We aim high.	0
63	We’re comfortable doing the crazy.	0
64	We’re major players in a game that consumers are winning because they have all the choice.	0
65	I’ll confess: the problem isn’t really “numbers.” The problem isn’t even in starting with the numbers.	0
66	(Sometimes, it’s good to start with data.	0
67	Sometimes, not.)	0
68	Instead, the problem lies in how most organizations use those numbers: as sources of answers.	0
69	The data says X, so let’s do X.	0
70	Rather than find a deeper insight, ask questions, sit with customers, or unleash the creative firepower of the team … we default to the conventional wisdom or the past precedent.	0
71	So, no, we don’t care about data — not the way most companies interpret data.	0
72	We care about insights, but unless we’re speaking plain English, we’re not talking about insights just yet.	0
73	(Note: We’d be fine with interpretive dance, too, just … don’t do the worm.)	0
74	We don’t care so much about the numbers.	0
75	To us, this is about making something others are afraid to say out loud in the working world: art.	0
76	That’s a scary word in our space.	0
77	Why?	0
78	Sounds a whole lot like the stuff we’re supposed to be making for work.	0
79	So what do we care about?	0
80	People.	0
81	Us.	0
82	You.	0
83	The audience.	0
84	People hold the answer, always.	0
85	Your technology is there to amplify your people.	0
86	Your analytics is there to track other people.	0
87	This is a game of unleashing the very best in your people, and finding solutions to the very worst in the people you wish to serve.	0
88	It’s never about the wand.	0
89	It’s always the wizard that holds the true power.	0
90	And we, the creative people, aspire to unleash our full potential.	0
91	We don’t do so by caring about data.	0
92	We do so by caring about making great art.	0
93	And our leading indicator of the art we should make is the overlap between what WE want to create (intuition) and what others react emotionally to consuming (qualitative feedback).	0
94	That is the shift from “acting like a publisher” (hitting “publish” more often, more quickly) to aspiring to be The Washington Post of our niche … the ESPN of our space … or “The Daily Show” of our industry.	0
95	So, care about data?	0
96	No thank you.	0
97	Gasp and clutch your pearls all you want.	0
98	“But, but you’re being too emotional here!	0
99	But, but SEO is a great tool that can — and, and everyone on Medium is writing about — but we have monthly metrics to — and we have proof and processes and science…”	0
100	No, shhh-shhh, there-there.	0
101	You’re not listening.	0
102	See, I know all that.	0
103	I know I should care.	0
104	But all I care about … is making you feel.	0
105	Does your data get me there?	0
106	Great, tell me how.	0
107	Does my intuition get me there?	0
108	11 outta 10 times it does.	0
109	In a world where others barely spend time with anything, I’m here to acquire and retain minutes or hours, not seconds.	0
110	I’m here to trigger emotional responses, not clicks.	0
111	I’m here to avoid creating more down-the-fairway, blend-into-the-noise, just-do-that-thing-again junk … because “that’s the best practice.”	0
112	Buy.	0
113	BUY: Hire people not because their resumes fit some kind of mold but precisely because their portfolios break it.	0
114	BUY: Question the experts and the best practice.	0
115	Look, I know everything in this article sounds utterly insane.	0
116	I know that.	0
117	I do.	0
118	I’m no dummy.	0
119	My brain is fighting against my gut every day, urging me to spend more time in Google Analytics, and screaming at me to click that link shared by that expert.	0
